Years,Biomass,Coal,Geothermal,Hydro,Natural Gas,Oil-based,Solar,Wind,Grand Total
1990,0,"1,934","5,466","6,062",0,"12,434",0,0,"25,896"
1991,0,"1,942","5,758","5,145",0,"12,804",0,0,"25,649"
1992,0,"1,791","5,700","4,440",0,"13,939",0,0,"25,870"
1993,0,"2,015","5,667","5,030",0,"13,867",0,0,"26,579"
1994,0,"1,348","6,320","5,862",0,"16,929",0,0,"30,459"
1995,0,"2,109","6,135","6,232",0,"19,078",0,0,"33,554"
1996,0,"4,855","6,534","7,030",0,"18,288",0,0,"36,708"
1997,0,"7,363","7,237","6,069",12,"19,116",0,0,"39,797"
1998,0,"9,388","8,914","5,084",20,"18,174",0,0,"41,579"
1999,0,"11,183","10,594","7,840",16,"11,799",0,0,"41,432"
2000,0,"16,663","11,626","7,799",17,"9,185",0,0,"45,290"
2001,0,"18,789","10,442","7,104",848,"9,858",0,0,"47,040"
2002,0,"16,128","10,242","7,033","8,771","6,293",0,0,"48,467"
2003,0,"14,939","9,822","7,870","13,139","7,170",0,0,"52,941"
2004,0,"16,194","10,282","8,593","12,384","8,504",0,0,"55,957"
2005,0,"15,257","9,902","8,387","16,861","6,141",2,17,"56,568"
2006,0,"15,294","10,465","9,939","16,366","4,665",1,53,"56,784"
2007,0,"16,837","10,215","8,563","18,789","5,148",1,58,"59,612"
2008,0,"15,749","10,723","9,843","19,576","4,868",1,61,"60,821"
2009,14,"16,476","10,324","9,788","19,887","5,381",1,64,"61,934"
2010,27,"23,301","9,929","7,803","19,518","7,101",1,62,"67,743"
2011,115,"25,342","9,942","9,698","20,591","3,398",1,88,"69,176"
2012,183,"28,265","10,250","10,252","19,642","4,254",1,75,"72,922"
2013,212,"32,081","9,605","10,019","18,791","4,491",1,66,"75,266"
2014,196,"33,054","10,308","9,137","18,690","5,708",17,152,"77,261"
2015,367,"36,686","11,044","8,665","18,878","5,886",139,748,"82,413"
2016,726,"43,303","11,070","8,111","19,854","5,661","1,097",975,"90,798"
2017,"1,013","46,847","10,270","9,611","20,547","3,787","1,201","1,094","94,370"
2018,"1,105","51,932","10,435","9,384","21,334","3,173","1,249","1,153","99,765"
2019,"1,040","57,890","10,691","8,025","22,354","3,752","1,246","1,042","106,041"
2020,"1,261","58,176","10,757","7,192","19,497","2,474","1,373","1,026","101,756"
